1215;WayBit;;0;7254086
1223;BitcoinObmennik;;0;1038900693
1216;Moneta365;;0;251685669
1217;R2Exchange;;0;7899189
1221;Coine-Market;;0;4488207
1219;BucksBunny;;0;293900682
1220;GoExme;;0;47339086
1222;VN-Exchange;;0;843556
1224;GreenBit;;0;0
1226;Buycoin;;0;39749333
1227;ObmenOne;;0;3560
1230;Galaxy-Coin;;0;300115745
1229;Crypto-Trans;;0;22382148
1231;EmpireOfExchange;;0;2739566
1234;MoneyMate;;0;433999855
1232;CyberMoney;499582611792;0;145608402
1233;Dolphex;817491148014;0;12014991
1238;PayStore;;0;120460573
1239;818Finance;;0;323743095
1236;Меняла;;0;43847154
1266;CryptoRoyal;;0;192747210
1240;Bitmore;;0;6997761
1261;Котлета;;0;15747367
1250;CryptoChicken;;0;127611577
1257;JohnnyDo;;0;176029915
1265;MultiKassa;229051719856;0;7278588
1262;MoneyRoll;;0;20338069
1247;369Change;;0;8421387
1237;CoinClick;;0;27217030
1241;TrustMeCash;;0;97917949
1268;Феникс;;0;18836705
1259;CryptoYes;;0;10195977
1256;AppBit;;0;121137502
1251;GreenEX;;0;21840659
1260;AVPay;;0;2172958
1249;Криптон;;0;1435131
1244;CryptoMeow;;0;18222500
1258;SF-Changer;756685191755;515;188922
1242;NextCoin;457213523332;111;16035084
1255;ExBitBotNet;555689570511;396;113297721
1246;BeeSwap;;0;77214648
1254;BTCDeal;;0;13063160
1248;KryptoSwap;;0;324752623
1267;Пятачок;;0;0
1252;CryptoVortex;;0;8076498
1269;КриптоМагнат;;0;1901500
1271;Paynoom;;0;2195750
1270;BuyCrypt;;0;2192444
1263;ShapeBTC;;0;39504323
1264;BulldogExchange;;0;195457174
1274;DoctorBit;174643345109;0;50197717
1280;Ex-ATM24;;0;18747026
1278;WTC-Ex;818867474486;124;20994763
1281;Atom-Exchange;;0;12963987
1284;Rexexio;;0;722511
1277;Цунами;;0;95741983
1275;Стрела;;0;241317615
1282;Kupitman;;0;89276970
1276;Brabus;;0;4004803
1365;Crypto007;;0;227244338
1283;Fiatex;;0;52904231
1288;GoodBoySwap;;0;0
1286;Rebex;;0;42162296
1287;Dubai-Tether;;0;248636
1290;Force;;0;5185699
1289;GeekChange;;0;337497049
1293;OkPays;;0;1722048
1292;ChangeExpert;;0;0
1294;Swappix;;0;46314652
1296;PrimeExchange;787488185031;0;0
1353;ExObmin;;0;3025592
1303;Sharky;;0;154503644
1356;Эльвира;;0;75183
1347;Murex;;0;2375000
1295;AuraLegal;;0;8655439
1330;BitWise;;0;3709302
1313;NovaChange;;0;3892392
1341;HodlBase;;0;20302432
1352;GoldenGate;;0;26352299
1337;More-Ex;;0;4978857
1327;Финансович;;0;0
1322;BitKit;;0;10982794
1348;EasyBusy;;0;50044796
1300;Coin24Bank;546174051784;0;80748374
1305;TJSpay;;0;20123009
1325;SwapGate;;0;98545165
1304;CashRocket;;0;8556163
1314;Марио;;0;600819
1323;PabloCash;;0;0
1306;PrimeEx;;0;88734669
1298;WswOne;;0;3964163
1321;OneClick24;;0;493579
1309;StoreBucks;;0;111555790
1297;CryptoZapravka;;0;72913933
1328;Ant;;0;86195986
1372;Сапфирекс;;0;1761087
1312;Бобр;;0;161253764
